Workout Type,Start,End,Duration,Active Energy (kcal),Resting Energy (kcal),Intensity (kcal/hr·kg),Max. Heart Rate (bpm),Avg. Heart Rate (bpm),Distance (km),Max. Speed (km/hr),Avg. Speed (km/hr),Flights Climbed,Elevation Ascended (m),Elevation Descended (m),Step Count,Step Cadence (spm),Swim Stroke Count,Swim Stroke Cadence (spm),Lap Length (km),Stroke Style,SWOLF Score,Water Salinity,Temperature (ºC),Humidity (%),Location,
Squash,2024-08-18 17:20,2024-08-18 19:20,02:00:46,769.915307206913,135.45600000000002,7.803485466471132,0.0,0.0,4.016139642471215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.53999999999769,66.0,,
Squash,2024-08-15 18:17,2024-08-15 20:52,02:35:05,1133.3819999999962,180.98300000000012,9.108820448245663,0.0,0.0,4.6854690837555095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,17.129999999997665,66.0,,
Boxing,2024-08-13 18:31,2024-08-13 18:57,00:25:59,191.2787865479605,30.443121374976563,9.24437426768376,0.0,0.0,2.349600843782537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.409999999997694,66.0,,
Squash,2024-08-12 17:30,2024-08-12 19:33,02:03:03,966.0760000000116,143.860777188635,9.70356923064523,0.0,0.0,3.7686469187797047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,17.449999999997658,59.0,,
Squash,2024-08-05 19:05,2024-08-05 19:36,00:31:33,193.1267918569203,31.595638048016667,7.121289049690861,0.0,0.0,0.8236500438547227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9.879999999997722,73.0,,
Outdoor Run,2024-08-01 16:32,2024-08-01 17:13,00:41:13,229.98000000000008,48.96500000000002,7.371357584096733,0.0,0.0,5.022764996952423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,13.969999999997754,61.0,Outdoor,
Outdoor Walk,2024-07-31 14:02,2024-07-31 15:14,01:12:17,109.28133295154161,61.52065331553568,2.5970052403716926,0.0,0.0,2.431970900390889,0.0,0.0,0.0,6.23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,11.099999999997749,67.0,Outdoor,
Squash,2024-07-29 18:34,2024-07-29 18:37,00:03:12,22.396999999999995,4.356000000000001,8.935396434385757,0.0,0.0,0.13439554800197948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9.769999999997708,88.0,,
Squash,2024-07-29 17:52,2024-07-29 18:34,00:41:43,327.57875174235926,43.35200000000001,9.771457144328926,0.0,0.0,1.7445240314310653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9.979999999997744,86.0,,
Squash,2024-07-28 17:35,2024-07-28 19:30,01:42:34,741.7199829030777,128.58200000000005,8.877713801624726,0.0,0.0,3.934282257496263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
